"mx",""
"de",""
"at",""
"ar",""
"au",""
"sk",""
"gb",""
"us",""
"br",""
"es",""
"cz",""
"cn",""
"fr",""
"world","Le monde"
"africa",""
"samerica",""
"namerica",""
"europe",""
"asia",""
"oceania",""
"in",""
"it",""
"ca",""
"se",""
"no",""
"fi",""
"us-al",""
"us-az",""
"us-ar",""
"us-ca",""
"us-co",""
"us-ct",""
"us-de",""
"us-fl",""
"us-ga",""
"us-id",""
"us-il",""
"us-in",""
"us-ia",""
"us-ks",""
"us-ky",""
"us-la",""
"us-me",""
"us-md",""
"us-ma",""
"us-mi",""
"us-mn",""
"us-ms",""
"us-mo",""
"us-mt",""
"us-ne",""
"us-nv",""
"us-nh",""
"us-nj",""
"us-nm",""
"us-ny",""
"us-nc",""
"us-nd",""
"us-oh",""
"us-ok",""
"us-or",""
"us-pa",""
"us-ri",""
"us-sc",""
"us-sd",""
"us-tn",""
"us-tx",""
"us-ut",""
"us-vt",""
"us-va",""
"us-wa",""
"us-wv",""
"us-wi",""
"us-wy",""
"al",""
"af",""
"dz",""
"ao",""
"ar",""
"am",""
"au",""
"az",""
"bs",""
"bd",""
"be",""
"bz",""
"by",""
"bj",""
"bt",""
"bo",""
"ba",""
"bw",""
"br",""
"bn",""
"bg",""
"bf",""
"bi",""
"td",""
"me",""
"cz",""
"cn",""
"dk",""
"cd",""
"do",""
"dj",""
"eg",""
"ec",""
"er",""
"ee",""
"et",""
"fk",""
"fj",""
"ph",""
"fi",""
"fr",""
"tf",""
"ga",""
"gm",""
"gh",""
"gl",""
"ge",""
"gt",""
"gn",""
"gw",""
"gy",""
"ht",""
"hn",""
"cl",""
"hr",""
"in",""
"id",""
"iq",""
"ir",""
"ie",""
"is",""
"it",""
"il",""
"jm",""
"jp",""
"ye",""
"za",""
"kr",""
"ss",""
"jo",""
"kh",""
"cm",""
"ca",""
"qa",""
"kz",""
"ke",""
"co",""
"cg",""
"cr",""
"cu",""
"kw",""
"cy",""
"kg",""
"la",""
"ls",""
"lb",""
"lr",""
"ly",""
"lt",""
"lv",""
"lu",""
"mg",""
"hu",""
"mk",""
"my",""
"mw",""
"ml",""
"ma",""
"mr",""
"mx",""
"md",""
"mn",""
"mz",""
"mm",""
"na",""
"de",""
"np",""
"ne",""
"ng",""
"ni",""
"nl",""
"no",""
"nc",""
"nz",""
"om",""
"pk",""
"ps",""
"pa",""
"pg",""
"py",""
"pe",""
"ci",""
"pl",""
"pr",""
"pt",""
"at",""
"gq",""
"ro",""
"ru",""
"rw",""
"gr",""
"sv",""
"sa",""
"sn",""
"kp",""
"sl",""
"sk",""
"si",""
"so",""
"ae",""
"gb",""
"us",""
"rs",""
"cf",""
"sd",""
"sr",""
"sz",""
"sy",""
"sb",""
"es",""
"lk",""
"se",""
"ch",""
"tj",""
"tz",""
"th",""
"tw",""
"tg",""
"tn",""
"tr",""
"tm",""
"ug",""
"ua",""
"uy",""
"uz",""
"ve",""
"vn",""
"tl",""
"zm",""
"eh",""
"zw",""
"world","Le monde"
"africa",""
"samerica",""
"namerica",""
"europe",""
"asia",""
"oceania",""
"xk",""
"xs",""
"cz-us",""
"cz-pl",""
"cz-jm",""
"cz-zl",""
"cz-ol",""
"cz-pa",""
"cz-ka",""
"cz-jc",""
"cz-vy",""
"cz-pr",""
"cz-st",""
"cz-li",""
"cz-kr",""
"cz-mo",""
"de-nw",""
"de-bw",""
"de-he",""
"de-hb",""
"de-ni",""
"de-th",""
"de-hh",""
"de-sh",""
"de-rp",""
"de-sl",""
"de-by",""
"de-be",""
"de-st",""
"de-sn",""
"de-bb",""
"de-mv",""
"at-vo",""
"at-bu",""
"at-st",""
"at-ka",""
"at-oo",""
"at-sz",""
"at-tr",""
"at-no",""
"at-wi",""
"in-ch",""
"in-dl",""
"in-hp",""
"in-hr",""
"in-jk",""
"in-ap",""
"in-kl",""
"in-ld",""
"in-or",""
"in-dn",""
"in-ka",""
"in-mh",""
"in-an",""
"in-as",""
"in-mn",""
"in-nl",""
"in-ml",""
"in-pb",""
"in-rj",""
"in-up",""
"in-ut",""
"in-jh",""
"in-wb",""
"in-br",""
"in-sk",""
"in-ct",""
"in-mp",""
"in-py",""
"in-tn",""
"in-gj",""
"in-ga",""
"in-ar",""
"in-mz",""
"in-tr",""
"Daman and Diu",""
"cn-62",""
"cn-63",""
"cn-45",""
"cn-52",""
"cn-50",""
"cn-11",""
"cn-35",""
"cn-34",""
"cn-44",""
"cn-54",""
"cn-65",""
"cn-46",""
"cn-64",""
"cn-61",""
"cn-14",""
"cn-42",""
"cn-43",""
"cn-51",""
"cn-53",""
"cn-13",""
"cn-41",""
"cn-21",""
"cn-37",""
"cn-12",""
"cn-36",""
"cn-32",""
"cn-31",""
"cn-33",""
"cn-22",""
"cn-15",""
"cn-23",""
"San_Marino",""
"Vaduz",""
"Luxembourg",""
"Monaco",""
"Andorra",""
"Ljubljana",""
"Bratislava",""
"Podgorica",""
"Bern",""
"Pristina",""
"Skopje",""
"Reykjavik",""
"Chisinau",""
"Vilnius",""
"Riga",""
"Zagreb",""
"Tallinn",""
"Belgrade",""
"Tirana",""
"Sofia",""
"Minsk",""
"Sarajevo",""
"Budapest",""
"Bucharest",""
"Lisbon",""
"Oslo",""
"Warsaw",""
"Dublin",""
"Prague",""
"Helsinki",""
"Kobenhavn",""
"Brussels",""
"Kiev",""
"Madrid",""
"Geneva",""
"Stockholm",""
"Amsterdam",""
"Berlin",""
"Athens",""
"Vienna",""
"London",""
"Moscow",""
"Rome",""
"Paris",""
"it-65",""
"it-75",""
"it-77",""
"it-78",""
"it-72",""
"it-45",""
"it-36",""
"it-62",""
"it-42",""
"it-25",""
"it-57",""
"it-67",""
"it-21",""
"it-88",""
"it-82",""
"it-52",""
"it-32",""
"it-55",""
"it-23",""
"it-34",""
"fr-a",""
"fr-b",""
"fr-c",""
"fr-p",""
"fr-d",""
"fr-e",""
"fr-f",""
"fr-g",""
"fr-h",""
"fr-i",""
"fr-q",""
"fr-j",""
"fr-k",""
"fr-l",""
"fr-m",""
"fr-n",""
"fr-o",""
"fr-r",""
"fr-s",""
"fr-t",""
"fr-u",""
"fr-v",""
"es-an",""
"es-ar",""
"es-cb",""
"es-cl",""
"es-cm",""
"es-ct",""
"es-md",""
"es-na",""
"es-vc",""
"es-ex",""
"es-ga",""
"es-pm",""
"es-lo",""
"es-pv",""
"es-as",""
"es-mu",""
"ca-mb",""
"ca-sk",""
"ca-ab",""
"ca-bc",""
"ca-nu",""
"ca-nt",""
"ca-yt",""
"ca-on",""
"ca-qc",""
"ca-nb",""
"ca-ns",""
"ca-nl",""
"ca-pe",""
"au-nt",""
"au-wa",""
"au-ct",""
"au-ns",""
"au-sa",""
"au-vi",""
"au-ql",""
"au-ts",""
"Hardanger-vidda",""
"Bohmerwald",""
"Transylvanian_Alps",""
"Tatra_Mts.",""
"Pindus_Mts.",""
"Calabria",""
"Harz",""
"Vosges",""
"Sudetes_Mts.",""
"Erzgebirge",""
"Ardennes",""
"Jura",""
"Grampian_Mts.",""
"Cambrian_Mts.",""
"Balkan_Mts.",""
"Dinaric_Alps",""
"Cord._Cantabrica",""
"S._Nevada",""
"Sierra_Morena",""
"KJLEN_MOUNTAINS",""
"CARPATHIAN_MOUNTAINS",""
"APPENNINI",""
"PYRENEES",""
"ALPS",""
"CAUCASUS_MTS.",""
"Mesa",""
"San_Mateo",""
"Aurora",""
"Kansas_City",""
"Pasadena",""
"Grand_Prairie",""
"Stamford",""
"Joliet",""
"Stockton",""
"Oceanside",""
"Irvine",""
"New_Haven",""
"Lowell",""
"Fort_Lauderdale",""
"Gary",""
"Covington",""
"Akron",""
"Grand_Rapids",""
"Tacoma",""
"Long_Beach",""
"Hartford",""
"Providence",""
"Birmingham",""
"St._Petersburg",""
"Dayton",""
"Virginia_Beach",""
"Oakland",""
"West_Palm_Beach",""
"Sarasota",""
"Louisville",""
"Charlotte",""
"Columbus",""
"Albany",""
"Harrisburg",""
"San_Bernardino",""
"Bridgeport",""
"Rochester",""
"Tucson",""
"Fresno",""
"Albuquerque",""
"Tulsa",""
"Ft._Worth",""
"Austin",""
"El_Paso",""
"Orlando",""
"Jacksonville",""
"Indianapolis",""
"Knoxville",""
"Richmond",""
"Baltimore",""
"Syracuse",""
"San_Jose",""
"Sacramento",""
"Las_Vegas",""
"Portland",""
"Salt_Lake_City",""
"Omaha",""
"Oklahoma_City",""
"San_Antonio",""
"Raleigh",""
"Cleveland",""
"Cincinnati",""
"Nashville",""
"Memphis",""
"Norfolk",""
"Milwaukee",""
"Buffalo",""
"Pittsburgh",""
"Minneapolis",""
"Seattle",""
